"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-12-10T18:01:12.000Z","STX","0.000","","0","0","0.317","","","Receive","","0x265f25f7eb878536c4f34f3b0cd9c81021172b568ea0efb8d7dca6bef84b9463","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","12/10/2025 18:01:12"
"USD","2025-12-10T18:01:12.000Z","STX","2841320.160","","0","0","0.317","","","Receive","","0xfd695b8cb13682cae162c4ab31c2ca69bbe41bdb9202410e9f72026ceda9d5d1","2841320160000","0","0","SM2G1CJQQBDKW9EVYP9SVX4F7QKSRJYGEZNHNF0W5","","","12/10/2025 18:01:12"
"USD","2025-12-05T19:10:58.000Z","STX","5.000","","0","0","N/A","","","Receive","","0xee7d6088186f051563368bf01470aad636f8e765948fc7b38f0fe4a63cd7a2c0","5000000","0","0","SPJYNB7A3SGVZMXKHYPJJ9V9WWPN986NRESMN3P9","","","12/05/2025 19:10:58"
