"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-10-06T14:13:38.000Z","","0","sbtc-token","200000000","0","","N/A","","Send","mint","0x4adf083f4881da4bb2ca5d7a0d6f42d82947bbb3f62048b5ecc9b51823cd3b61","0","200000000","0","","SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-core","","10/06/2025 14:13:38"
"USD","2025-10-06T14:13:38.000Z","lp-token","480759866100","STX","400000.000","0.01","N/A","N/A","N/A","Trade Coin","mint","0xb7d30849c7a04ad8e4911d965d335faf64a92737a88264db760b99b6b16befea","480759866100","400000000000","10000","","SP3YBY0BH4ANC0Q35QB6PD163F943FVFVDFM1SH7S.gl-core","","10/06/2025 14:13:38"
"USD","2025-10-06T14:13:38.000Z","","0","STX","0.000","0","","N/A","","Send","mint","0xb7d30849c7a04ad8e4911d965d335faf64a92737a88264db760b99b6b16befea","0","1","0","","SP3CRXBDXQ2N5P7E25Q39MEX1HSMRDSEAP3CFK2Z3","","10/06/2025 14:13:38"
"USD","2025-10-06T14:13:38.000Z","","0","aeUSDC","240000000000","0","","N/A","","Send","mint","0xb7d30849c7a04ad8e4911d965d335faf64a92737a88264db760b99b6b16befea","0","240000000000","0","","SP3YBY0BH4ANC0Q35QB6PD163F943FVFVDFM1SH7S.gl-core","","10/06/2025 14:13:38"
"USD","2025-10-02T09:29:12.000Z","aeUSDC","502025738978","STX","0.000","0.01","N/A","N/A","N/A","Trade Coin","borrow","0x264194d41b98a0ace487242004bfe81049ffb8842746b562beecc1aceb3ac76f","502025738978","2","10000","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","SP3CRXBDXQ2N5P7E25Q39MEX1HSMRDSEAP3CFK2Z3","","10/02/2025 09:29:12"
"USD","2025-10-02T08:56:06.000Z","zwstx","2500000000000","STX","2500000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x564ea0e8c0e84d72888b119e40269ec87876f75e32b7152f891f6a3c5d653984","2500000000000","2500000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/02/2025 08:56:06"
"USD","2025-10-02T08:56:06.000Z","zwstx","79684004","","0","0","N/A","","","Receive","supply","0x564ea0e8c0e84d72888b119e40269ec87876f75e32b7152f891f6a3c5d653984","79684004","0","0","","","","10/02/2025 08:56:06"
"USD","2025-10-02T08:56:06.000Z","sbtc-token","215912357","STX","0.000","0.01","N/A","N/A","N/A","Trade Coin","borrow","0xcf7759ec9a24cfc4e207e3b222226fdd4f7f3a17667f24f2dbf7cdef712f42c1","215912357","2","10000","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","SP3CRXBDXQ2N5P7E25Q39MEX1HSMRDSEAP3CFK2Z3","","10/02/2025 08:56:06"
"USD","2025-10-01T00:49:31.000Z","zwstx","1000000000000","STX","1000000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x91c1a860935bf5d3e73065712275db3b0333cfc828311bb3a5f9cf5936a67aef","1000000000000","1000000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/01/2025 00:49:31"
"USD","2025-10-01T00:49:31.000Z","zwstx","132000","","0","0","N/A","","","Receive","supply","0x91c1a860935bf5d3e73065712275db3b0333cfc828311bb3a5f9cf5936a67aef","132000","0","0","","","","10/01/2025 00:49:31"
"USD","2025-10-01T00:49:31.000Z","zwstx","1200000000000","STX","1200000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0xfb97628b19f00570e5615bed100de513cf55cd5eb2ccc8dec01f2f428d760d0b","1200000000000","1200000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/01/2025 00:49:31"
"USD","2025-10-01T00:39:04.000Z","STX","0.000","","0","0","N/A","","","Receive","","0x29b992766f1d2e0d196f22f835efa6e8a5467e408624874bdceb3a20155b96d3","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/01/2025 00:39:04"
"USD","2025-10-01T00:39:04.000Z","STX","5750000.000","","0","0","N/A","","","Receive","","0xde3fd73207e06a1933918d383426e1fa64bc8f49c15901f897f97f55261dc924","5750000000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","10/01/2025 00:39:04"
"USD","2025-10-01T00:39:04.000Z","STX","5.000","","0","0","N/A","","","Receive","","0xd54c8befb07089f3d1512245d665a30e1158fb2a2970c735edcde9ce2ce15e14","5000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","10/01/2025 00:39:04"
