"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-10-10T20:52:26.000Z","","0","STX","0.001","0.000686","","0.595","0.595","Send","","0xb13f12a62f7ae3d4af78ce961449662cefbdbb03244cb093af60d1c0fb26e242","0","1000","686","","SM1Z6BP8PDKYKXTZXXSKXFEY6NQ7RAM7DAEAYR045","","10/10/2025 20:52:26"
"USD","2025-10-10T20:52:26.000Z","STX","0.002","","0","0","0.595","","","Receive","","0xc92fb0a7cc12bfd14732265449658a8c63dd63ffccc52646371e44f624afe977","1686","0","0","SP220K5EDGPF1A09AD0VCTGC541TJH4SX96DV5ES7","","","10/10/2025 20:52:26"
"USD","2025-09-30T06:30:21.000Z","","0","STX","0.001","0.00045","","N/A","N/A","Send","","0xa6ad58c9df370857beb15ed5a86b312ba52450f5c8d86ff4ee96ff36ac5d74c2","0","1000","450","","SM1Z6BP8PDKYKXTZXXSKXFEY6NQ7RAM7DAEAYR045","","09/30/2025 06:30:21"
"USD","2025-09-30T06:22:12.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x7976d5ac1f0c94d8b41ae12a8d397241be71187018bf96e21c451894e103f403","1450","0","0","SP220K5EDGPF1A09AD0VCTGC541TJH4SX96DV5ES7","","","09/30/2025 06:22:12"
