"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-09-30T16:58:03.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x13e3e19c67b59d5dec72eeb60e30aa243198297b9a64b0281c21cd41a05cfbb4","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","09/30/2025 16:58:03"
"USD","2025-09-30T16:58:03.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0xee753c7148a6dee27624934a2607bed65aaca5c0e7813024ea54147a7329d6a6","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","09/30/2025 16:58:03"
"USD","2025-09-30T16:58:03.000Z","","0","STX","311000.000","0.0004","","N/A","N/A","Send","'101870658'","0x6fa9bf452aca717452863b66a32a560595521ca0d3ddab583c68eab8101cf03d","0","311000000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","09/30/2025 16:58:03"
"USD","2025-09-30T16:58:03.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x5d9266879032a0325d8765bbc00d5ff9f1bad6f788b4dadaa1a15c2ced759a66","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","09/30/2025 16:58:03"
"USD","2025-09-30T16:58:03.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0xb8b5c91aaed6ec71b130c847a973307fb6e1cad4d9873a27dd0ce51627c9c622","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","09/30/2025 16:58:03"
"USD","2025-09-30T16:44:04.000Z","","0","STX","1000.000","0.0004","","N/A","N/A","Send","'101870658'","0xc9eb879364a48268ec190ad8d58f4e54e11a313b7b6427f763ae529bc0cbfdf3","0","1000000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","09/30/2025 16:44:04"
"USD","2025-09-29T01:05:18.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x55459100cf1bf320ab307b8c9cba2eae82000692aae850d666e54ab2d732e993","1000","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","09/29/2025 01:05:18"
"USD","2025-09-29T01:05:18.000Z","STX","312263.660","","0","0","N/A","","","Receive","","0x3c1ec47ce70a0e5a10495237bea10b05590e1bc0e9385501b76f197dffc7501d","312263660000","0","0","SM2Q0SX7FSE8R0FTB8772HSVYSMC0M8MP1S9V9QW4","","","09/29/2025 01:05:18"
"USD","2025-09-20T18:49:15.000Z","sbtc-token","3374","","0","0","N/A","","","Receive","distribute-rewards","0x77f6c68ab42f61397301bed5ddf579bb9ba569d4b2869655a1a15850a99cd11c","3374","0","0","SP804CDG3KBN9M6E00AD744K8DC697G7HBCG520Q.sbtc-yield-rewards-v3","","","09/20/2025 18:49:15"
"USD","2025-09-15T21:45:51.000Z","STX","0.000","","0","0","N/A","","","Receive","send-many","0xa84d07d9de3ac25b2e92f0189d9198f5721e6437d5769fb56884a4b689b056aa","100","0","0","SP3N7TT3EBHAH2976ZBCMGF8H62DJ9AXXW9XE5S80","","","09/15/2025 21:45:51"
